ID;Cover;FireRegime;Abundance;Richness;q0;q1;q2;pH;Humidity;DA;N;C;P_disp;P_total;Arena;Arcilla;Limo
2;Grass Monoculture;High;13;6;6;5.320648945;4.828571429;5.52;28.73;1.87;0.09;1.96;0.72;282.03;41.76;39.24;19
3;Secondary Forest;Low;29;8;8;6.038672042;5.096969697;6.02;20.78;2.07;0.08;1.69;22.21;384.97;42.76;35.24;22
6;Grass Monoculture;High;85;7;7;4.898347622;4.007210205;6.65;33.88;1.83;0.39;5.44;3.72;244.64;35.76;45.24;19
9;Biodiverse pasture;High;118;8;8;3.714310416;2.869744435;5.99;29.28;2.03;0.23;3.68;1.97;281.16;38.76;47.24;14
13;Secondary Forest;Low;109;9;9;3.256830401;2.103948999;5.74;32.69;1.99;0.17;2.86;2.12;275.1;24.76;51.24;24
14;Grass Monoculture;Low;20;6;6;4.427337466;3.636363636;6.29;37.45;1.82;0.25;3.79;34.77;404.64;26.76;52.24;21
18;Biodiverse pasture;Low;47;5;5;2.989149946;2.55967555;6.16;30.65;2.19;0.03;1.23;3.97;396.99;45.76;30.24;24
JTCP1;Grass Monoculture;Null;56;6;6;3.053440129;2.333333333;5.91;20.84;2.12;0.04;1.17;4.07;325.42;52.76;33.24;14
S1.3b;Biodiverse pasture;High;124;6;6;3.601698014;2.950115119;6.14;25.19;2.23;0.19;2.68;5.02;324.28;36.76;43.24;20
S3;Secondary Forest;Null;70;7;8;6.038672042;5.096969697;5.67;25.32;2.09;0.16;2.3;2.77;329.3;42.76;40.24;17
S3.1;Biodiverse pasture;High;30;5;5;2.36006473;1.660516605;6.04;43.3;1.93;0.18;3.45;1.62;196.8;24.76;61.24;14
S3.2;Grass Monoculture;Low;16;4;4;2.682903085;2.169491525;5.83;27.72;2.08;0.08;1.73;1.12;156.69;32.76;53.24;14
S4.1;Secondary Forest;Null;97;10;10;5.981110619;4.600977995;5.77;41.27;1.93;0.51;5.88;3.47;304.39;31.76;53.24;15
S4.4;Biodiverse pasture;Null;72;8;8;4.087408284;2.996531792;5.79;24.27;2.11;0.12;2.17;2.5;447.94;51.76;35.24;13
S8;Secondary Forest;Null;179;10;10;4.140797094;2.769556574;5.79;26.57;2.23;0.15;2.55;1.62;248.64;35.76;47.24;17
