ID;BurningRegime;GrazingEnviroments;RemovalCommunity;RemovalSpecies;q1;q2;Abundance;q0;Tunnelers;Rollers;Small;Medium;Large;SmallTunn;MediumTunn;LargeTunn;SmallRoll;MediumRoll;LargeRoll;FeedStratC;FeedStratN;FeedStratG;HabPrefS;HabPrefG;TempSegregD;TempSegregN;TempSegregC
GM4;High;GrassMonoculture;23.2114;0;5.320648945;4.828571429;13;6;7;6;2;5;6;1;2;4;1;3;2;6;4;3;8;5;4;7;2
GM3;High;GrassMonoculture;169.988;0;6.038672042;5.096969697;85;8;27;58;34;49;2;26;1;0;8;48;2;48;13;24;50;35;71;14;0
PB4;High;BiodiversePastures;89.05866667;15.21866667;4.898347622;4.007210205;118;7;72;46;59;50;9;58;12;2;1;38;7;109;0;9;116;2;50;66;2
PB2;High;BiodiversePastures;194.9966667;80.73866667;3.714310416;2.869744435;124;8;51;73;38;85;1;38;12;1;0;73;0;109;15;0;109;15;73;42;9
PB3;High;BiodiversePastures;329.9976;89.608;3.256830401;2.103948999;30;9;4;26;2;27;1;2;2;0;0;25;1;27;2;1;28;2;27;3;0
VS4;Low;SecondaryForest;143.0232;44.0036;4.427337466;3.636363636;29;6;6;23;5;13;11;0;5;1;5;8;10;8;7;14;17;12;17;11;1
VS5;Low;SecondaryForest;189.7466667;0;2.989149946;2.55967555;109;5;21;88;13;93;3;4;15;2;9;78;1;25;75;9;22;87;104;4;1
GM2;Low;GrassMonoculture;188.6993333;93.92066667;3.053440129;2.333333333;20;6;14;6;10;9;1;10;3;1;0;6;0;19;1;0;17;3;10;9;1
PB5;Low;BiodiversePastures;12.73893333;0;3.601698014;2.950115119;47;6;2;45;5;42;0;1;1;0;4;41;0;21;22;4;21;26;46;1;0
GM5;Low;GrassMonoculture;76.2294;16.3488;6.038672042;5.096969697;16;8;1;15;0;11;5;0;1;0;0;10;5;11;1;4;16;0;10;5;1
GM1;Null;GrassMonoculture;9.12;0;2.36006473;1.660516605;56;5;21;35;10;35;11;10;0;11;0;35;0;10;45;1;9;47;37;19;0
VS1;Null;SecondaryForest;53.97066667;0;2.682903085;2.169491525;70;4;21;49;19;48;3;4;14;3;15;34;0;20;35;15;19;51;64;6;0
VS3;Null;SecondaryForest;21.645;0;5.981110619;4.600977995;97;10;44;53;43;40;14;35;6;3;8;34;11;36;35;26;21;76;81;16;0
PB1;Null;BiodiversePastures;111.712;111.712;4.087408284;2.996531792;72;8;29;43;21;48;3;19;10;0;2;38;3;32;36;4;35;37;46;23;3
VS2;Null;SecondaryForest;90.03866667;0;4.140797094;2.769556574;179;10;38;141;50;118;11;16;18;4;34;100;7;44;101;34;62;117;163;16;0
