ID;Cover;FireRegime;pH;Humidity;Ca_int;K_int;CIC;DA;MO;CO;N;C;P_disp;P_total;Sand;Clay;Silt;Class
18;Biodiverse pasture;Low;6.16;30.65;14.12;0.78;18.46;2.19;1.93;1.12;0.03;1.23;3.97;396.99;45.76;30.24;24;Franco Arcilloso
S8;Secondary Forest;Null;5.79;26.57;11.66;0.99;17.37;2.23;4.32;2.51;0.15;2.55;1.62;248.64;35.76;47.24;17;Arcilla
14;Grass Monoculture;Low;6.29;37.45;21.26;2.35;30.83;1.82;6.03;3.5;0.25;3.79;34.77;404.64;26.76;52.24;21;Arcilla
6;Grass Monoculture;High;6.65;33.88;25.31;0.95;26.83;1.83;9.26;5.37;0.39;5.44;3.72;244.64;35.76;45.24;19;Arcilla
3;Secondary Forest;Low;6.02;20.78;11.24;1.44;14.82;2.07;2.71;1.57;0.08;1.69;22.21;384.97;42.76;35.24;22;Franco Arcilloso
JTCP1;Grass Monoculture;Null;5.91;20.84;9.52;0.74;12.73;2.12;2.01;1.17;0.04;1.17;4.07;325.42;52.76;33.24;14;Franco Arcilloso arenoso
13;Secondary Forest;Low;5.74;32.69;15.85;0.76;21.56;1.99;4.54;2.64;0.17;2.86;2.12;275.1;24.76;51.24;24;Arcilla
S1.3b;Biodiverse pasture;High;6.14;25.19;12.77;1.85;17.37;2.23;4.46;2.59;0.19;2.68;5.02;324.28;36.76;43.24;20;Arcilla
S3;Secondary Forest;Null;5.67;25.32;11.95;1.07;17.01;2.09;4.08;2.37;0.16;2.3;2.77;329.3;42.76;40.24;17;Entre arcilla y Franco arcilloso
S4.4;Biodiverse pasture;Null;5.79;24.27;12.33;0.7;18.46;2.11;3.72;2.16;0.12;2.17;2.5;447.94;51.76;35.24;13;Arcillo Arenoso
S3.2;Grass Monoculture;Low;5.83;27.72;14.97;0.68;23.01;2.08;3.06;1.77;0.08;1.73;1.12;156.69;32.76;53.24;14;Arcilla
2;Grass Monoculture;High;5.52;28.73;12.31;0.37;21.01;1.87;3.34;1.94;0.09;1.96;0.72;282.03;41.76;39.24;19;Franco arcilloso
9;Biodiverse pasture;High;5.99;29.28;14.7;1.19;21.37;2.03;6.25;3.62;0.23;3.68;1.97;281.16;38.76;47.24;14;Arcilla
S3.1;Biodiverse pasture;High;6.04;43.3;22.59;0.58;36.47;1.93;6.03;3.5;0.18;3.45;1.62;196.8;24.76;61.24;14;Arcilla
S4.1;Secondary Forest;Null;5.77;41.27;23.22;0.8;33.01;1.93;10.15;5.89;0.51;5.88;3.47;304.39;31.76;53.24;15;Arcilla
